2026-01-29 18:53:53,483 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/me HTTP/1.1" 200 -
2026-01-29 18:53:53,485 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/ai/status HTTP/1.1" 200 -
2026-01-29 18:53:53,496 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,496 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,496 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/me ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:53,498 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/me HTTP/1.1" 200 -
2026-01-29 18:53:53,499 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/me HTTP/1.1" 200 -
2026-01-29 18:53:53,499 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:53] "GET /api/me HTTP/1.1" 200 -
2026-01-29 18:53:54,414 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,436 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 18:53:54,450 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,453 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /favicon.ico ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,455 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "[36mGET /favicon.ico HTTP/1.1[0m" 304 -
2026-01-29 18:53:54,457 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 18:53:54,470 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,475 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 18:53:54,488 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,490 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,490 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/settings ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,498 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 18:53:54,500 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/settings?scope=all HTTP/1.1" 200 -
2026-01-29 18:53:54,546 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 18:53:54,558 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,606 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 18:53:54,618 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,656 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 18:53:54,667 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,706 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 18:53:54,716 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/decks ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,753 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/decks HTTP/1.1" 200 -
2026-01-29 18:53:54,819 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,820 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /res/decklogos/kenpo_vocabulary.png ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
2026-01-29 18:53:54,832 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /api/breakdowns/ids HTTP/1.1" 200 -
2026-01-29 18:53:54,832 | INFO | werkzeug | 47.188.42.192 - - [29/Jan/2026 18:53:54] "GET /res/decklogos/kenpo_vocabulary.png HTTP/1.1" 200 -
2026-01-29 18:53:54,846 | INFO | kenpo | [REQ] ip=47.188.42.192 user=Sidscri GET /api/breakdowns/ids ua=Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.
